"time","AMPA","NMDA","GABAa"
47.05,0.000464004015656,0.000228173462763,3.61813368591e-05
47.1,0.000459617365858,0.000229277167583,3.5857142548e-05
47.15,0.000455272072757,0.000230349469573,3.5535863641e-05
47.2,0.000450967747644,0.000231386208922,3.52174282257e-05
47.25,0.000446704005453,0.000232392482966,3.4901833961e-05
47.3,0.000442480464723,0.000233366148922,3.45891433375e-05
47.35,0.000438296747566,0.000234309229959,3.42792887591e-05
47.4,0.000434152479635,0.000235223484235,3.39721758636e-05
47.45,0.000430047290091,0.000236106057531,3.36678496717e-05
47.5,0.000425980811566,0.000236964350802,3.33662162294e-05
47.55,0.000421952680137,0.000237792830872,3.30672520803e-05
47.6,0.000417962535287,0.000238594513598,3.27709607894e-05
47.65,0.000414010019881,0.000239372028968,3.24773339771e-05
47.7,0.000410094780127,0.000240122392554,3.21863059205e-05
47.75,0.000406216465549,0.000240848898193,3.18978744801e-05
47.8,0.000402374728955,0.000241552793433,3.1612096768e-05
47.85,0.000398571218279,0.000242231931019,3.13289110058e-05
47.9,0.000394803561295,0.000242888482679,3.10482309533e-05
47.95,0.000391071421072,0.000243525598485,3.0770097756e-05
48.0,0.000387374463835,0.000244140122534,3.04944255466e-05
48.05,0.000383712358934,0.000244732755858,3.02211928874e-05
48.1,0.000380084778816,0.000245307281591,2.99504030367e-05
48.15,0.000376491398996,0.000245862304795,2.96820483361e-05
48.2,0.000372931898028,0.000246397278263,2.94160687194e-05
48.25,0.000369405957478,0.000246912802151,2.91524622312e-05
48.3,0.000365913261894,0.000247412254529,2.88912810681e-05
48.35,0.000362453498777,0.000247894240545,2.86324687688e-05
48.4,0.000359026358559,0.000248358540433,2.83759465157e-05
48.45,0.000355631534568,0.000248805680423,2.8121751913e-05
48.5,0.000352268723009,0.000249236594741,2.7869806484e-05
48.55,0.000348937622931,0.000249653629604,2.76200906359e-05
48.6,0.000345637936202,0.000250054621216,2.73726073467e-05
48.65,0.000342369367485,0.000250440000613,2.71273496171e-05
48.7,0.000339131624208,0.000250810179785,2.68842625508e-05
48.75,0.000335924416544,0.000251165554484,2.66433443606e-05
48.8,0.000332747457377,0.000251508845269,2.64046427505e-05
48.85,0.000329602109483,0.000251838345595,2.61681061191e-05
48.9,0.000326486411126,0.000252154065514,2.59336624323e-05
48.95,0.00032340008368,0.000252456336271,2.57013460578e-05
49.0,0.000320342851125,0.000252745471682,2.54710852732e-05
49.05,0.000317314440027,0.00025302177355,2.52428621722e-05
49.1,0.000314314579514,0.000253286418948,2.50166794763e-05
49.15,0.000311343001251,0.000253540013822,2.47925307888e-05
49.2,0.000308399439413,0.000253781536435,2.45703659382e-05
49.25,0.00030548363067,0.00025401123636,2.4350183291e-05
49.3,0.000302595314154,0.000254229350249,2.41320264457e-05
49.35,0.000299734231444,0.000254436100163,2.39158482417e-05
49.4,0.000296900126536,0.000254631698213,2.37015828452e-05
49.45,0.00029409274583,0.000254816714958,2.34892616657e-05
49.5,0.000291311838095,0.000254991045646,2.32788191538e-05
