"time","AMPA","NMDA","GABAa"
46.25,-0.0141428255589,-0.00186701447651,0.00379951366099
46.3,-0.0140220320707,-0.00186163960469,0.00376295201226
46.35,-0.0139019117612,-0.00185644162699,0.00372629441275
46.4,-0.0137824637388,-0.0018513827138,0.00368537820549
46.45,-0.0136636081151,-0.00184647698622,0.00364508412041
46.5,-0.013545361223,-0.00184171734387,0.0036054558193
46.55,-0.0134277394224,-0.00183714834148,0.00356651838353
46.6,-0.0133107583046,-0.0018327306766,0.00352780918891
46.65,-0.0131944247301,-0.00182844707984,0.00348537432787
46.7,-0.0130786726947,-0.00182432466054,0.0034438981014
46.75,-0.012963524235,-0.00182035841243,0.00340334261357
46.8,-0.0128489994354,-0.00181659112609,0.00336367037942
46.85,-0.0127351805628,-0.00181296390387,0.00332484332717
46.9,-0.0126220195544,-0.00180947119775,0.00328683989147
46.95,-0.0125095321791,-0.001806107529,0.00324961940235
47.0,-0.0123977326682,-0.00180286771867,0.00321315245978
47.05,-0.0122866339775,-0.00179974715639,0.00317740991622
47.1,-0.0121762478077,-0.00179677948561,0.00314236249975
47.15,-0.0120665845488,-0.00179391976718,0.00310798946452
47.2,-0.0119576539084,-0.00179116367692,0.00307426383777
47.25,-0.0118494644593,-0.0017885071346,0.00304116370757
47.3,-0.0117420238662,-0.00178594622848,0.00300866661455
47.35,-0.0116353389155,-0.00178347721946,0.0029767491125
47.4,-0.0115294155376,-0.00178109654806,0.00294540165806
47.45,-0.011424259066,-0.00177880073629,0.00291459727398
47.5,-0.0113198739859,-0.00177660144983,0.00288431849212
47.55,-0.0112162639959,-0.00177449078791,0.00285454768751
47.6,-0.0111134323402,-0.00177245438467,0.00282526637535
47.65,-0.0110113815943,-0.00177048943083,0.00279646317485
47.7,-0.0109101138487,-0.00176859320863,0.00276812098255
47.75,-0.0108096306431,-0.00176676313146,0.00274022672909
47.8,-0.010709933052,-0.00176499671526,0.0027127664687
47.85,-0.0106110747205,-0.00176329158418,0.00268572499909
47.9,-0.0105130015908,-0.00176164661,0.00265909949647
47.95,-0.0104157135868,-0.00176006325798,0.00263287091517
48.0,-0.0103192101421,-0.00175853468656,0.00260702848485
48.05,-0.0102234903663,-0.00175705889122,0.00258156086476
48.1,-0.010128553037,-0.00175563395509,0.00255645585578
48.15,-0.0100343966041,-0.00175425805441,0.00253170738054
48.2,-0.00994101928918,-0.00175292941514,0.00250730395456
48.25,-0.00984841902193,-0.00175165238452,0.00248323751838
48.3,-0.00975659345461,-0.00175042402207,0.00245949906367
48.35,-0.00966554007144,-0.00174923738116,0.00243607816641
48.4,-0.00957525609818,-0.00174809100803,0.0024129752999
48.45,-0.00948573867509,-0.00174698345044,0.00239017623279
48.5,-0.00939698466739,-0.00174591335906,0.00236767405119
48.55,-0.00930899077441,-0.00174487943616,0.00234546118265
48.6,-0.00922175352939,-0.00174388043979,0.00232352912524
48.65,-0.00913526929601,-0.00174291518971,0.00230187479887
48.7,-0.00904953434575,-0.00174198252959,0.00228049008374
48.75,-0.00896454479936,-0.00174108136156,0.00225936984706
48.8,-0.00888029667201,-0.00174021062513,0.00223850792979
48.85,-0.00879682982869,-0.00173936930399,0.00221789684207
48.9,-0.0087140951093,-0.00173855649537,0.00219753901511
48.95,-0.00863208831629,-0.00173777121825,0.00217742327189
49.0,-0.00855080509297,-0.00173701256983,0.00215754499524
49.05,-0.00847024101032,-0.00173627967961,0.00213789888095
49.1,-0.00839039156329,-0.00173557171383,0.0021184786934
49.15,-0.0083112521647,-0.00173488788157,0.00209928305972
49.2,-0.00823281820639,-0.00173422740092,0.00208030594298
49.25,-0.00815508500775,-0.00173358953104,0.00206154395783
49.3,-0.00807804785053,-0.00173297355356,0.00204299271794
49.35,-0.00800170197046,-0.00173237877928,0.00202464655876
49.4,-0.00792604254652,-0.00173180455673,0.00200650869807
49.45,-0.00785106480267,-0.00173125523285,0.00198857000573
49.5,-0.00777676386089,-0.00173072587173,0.00197082729143
49.55,-0.0077031348322,-0.00173021518818,0.00195327667561
49.6,-0.00763017280322,-0.00172972261338,0.00193591337695
49.65,-0.00755787282772,-0.00172924760919,0.0019187370106
49.7,-0.00748622997572,-0.0017287896376,0.00190174289051
49.75,-0.0074152392892,-0.00172834819041,0.00188492871137
49.8,-0.00734489580944,-0.00172792277255,0.00186829121528
