"time","IC-soma","MSO_ON-soma","MSO_OFF-soma"
29.9,8.55954071872,-54.9128691151,-55.635439012
29.95,2.86333331913,-54.9119390927,-55.6024602738
30.0,-2.64947711491,-54.9110479904,-55.5709687802
30.05,-7.86554465257,-54.9101941174,-55.5408960524
30.1,-12.8468821997,-54.9093758576,-55.5121768413
30.15,-17.8023360891,-54.908591666,-55.4847489713
30.2,-22.930455631,-54.9078400655,-55.4585531929
30.25,-28.2708472384,-54.9071196438,-55.4335330413
30.3,-33.6087366503,-54.906429051,-55.4096347027
30.35,-38.5554285394,-54.9057669964,-55.3868068867
30.4,-42.805710986,-54.9051322458,-55.3650007045
30.45,-46.2751943568,-54.9045236197,-55.3441695535
30.5,-49.0305203677,-54.9039399898,-55.3242690078
30.55,-51.186441626,-54.9033802778,-55.3052567134
30.6,-52.8551361006,-54.9028434525,-55.2870922886
30.65,-54.1318573071,-54.9023285279,-55.26973723
30.7,-55.0941184923,-54.9018345614,-55.2531548225
30.75,-55.8042781808,-54.9013606515,-55.2373100534
30.8,-56.3123496939,-54.9009059365,-55.2221695319
30.85,-56.6584204696,-54.9004695922,-55.2077014112
30.9,-56.8746753069,-54.9000508306,-55.1938753153
30.95,-56.9870110481,-54.8996488982,-55.1806622691
31.0,-57.0163032217,-54.8992630744,-55.1680346321
31.05,-56.9794168413,-54.8988926702,-55.155966035
31.1,-56.8900065343,-54.8985370267,-55.1444313196
31.15,-56.759148264,-54.8981955139,-55.133406482
31.2,-56.5958362984,-54.8978675292,-55.1228686176
31.25,-56.4073887503,-54.8975524964,-55.1127958701
31.3,-56.1997671213,-54.8972498644,-55.1031673817
31.35,-55.977820367,-54.8969591062,-55.0939632468
31.4,-55.7455023685,-54.8966797178,-55.0851644669
31.45,-55.5060331418,-54.8964112172,-55.0767529088
31.5,-55.2620280605,-54.8961531434,-55.0687112637
31.55,-55.0156212249,-54.8959050554,-55.0610230092
31.6,-54.7685397741,-54.8956665316,-55.0536723727
31.65,-54.5221801806,-54.8954371686,-55.0466442964
31.7,-54.2776673098,-54.8952165806,-55.0399244044
31.75,-54.0359026245,-54.8950043986,-55.0334989709
31.8,-53.7976035914,-54.8948002697,-55.0273548906
31.85,-53.5633342368,-54.8946038561,-55.0214796495
31.9,-53.3335360653,-54.8944148351,-55.0158612984
31.95,-53.1085476886,-54.8942328975,-55.010488426
32.0,-52.8886232633,-54.894057748,-55.0053501351
32.05,-52.6739472446,-54.8938891037,-55.0004360185
32.1,-52.4646471798,-54.8937266943,-54.9957361367
32.15,-52.2608034983,-54.8935702609,-54.9912409965
32.2,-52.0624582202,-54.8934195561,-54.9869415307
32.25,-51.8696220359,-54.893274343,-54.9828290784
32.3,-51.6822800527,-54.8931343951,-54.9788953668
32.35,-51.5003968217,-54.8929994955,-54.9751324935
32.4,-51.3239203761,-54.8928694368,-54.9715329095
32.45,-51.1527852489,-54.8927440205,-54.9680894032
32.5,-50.9869184285,-54.8926230567,-54.9647950852
32.55,-50.8262317789,-54.8925063637,-54.9616433736
32.6,-50.6706351344,-54.8923937676,-54.9586279801
32.65,-50.5200334482,-54.8922851019,-54.9557428969
32.7,-50.3743300996,-54.8921802073,-54.9529823836
32.75,-50.2334209255,-54.8920789314,-54.9503409558
32.8,-50.0972036998,-54.8919811284,-54.9478133729
32.85,-49.9655751722,-54.8918866586,-54.9453946275
32.9,-49.8384295505,-54.8917953883,-54.9430799347
32.95,-49.7156661278,-54.8917071896,-54.9408647224
33.0,-49.597179456,-54.8916219401,-54.9387446213
33.05,-49.4828710511,-54.8915395226,-54.9367154563
33.1,-49.3726377043,-54.8914598247,-54.9347732373
33.15,-49.2663839278,-54.8913827391,-54.9329141513
33.2,-49.1640095998,-54.8913081629,-54.9311345542
33.25,-49.0654225123,-54.8912359976,-54.9294309634
33.3,-48.9705266112,-54.8911661489,-54.9278000506
33.35,-48.8792330252,-54.8910985265,-54.9262386347
33.4,-48.7914505505,-54.891033044,-54.9247436753
33.45,-48.7070934237,-54.8909696185,-54.9233122668
33.5,-48.6260771016,-54.8909081706,-54.9219416316
33.55,-48.5483157285,-54.8908486246,-54.9206291153
33.6,-48.4737304908,-54.8907909075,-54.9193721804
33.65,-48.4022411337,-54.8907349496,-54.9181684016
33.7,-48.3337711813,-54.8906806843,-54.9170154608
33.75,-48.2682459406,-54.8906280476,-54.915911142
33.8,-48.2055925203,-54.8905769781,-54.914853327
33.85,-48.14573628,-54.8905274171,-54.9138399911
33.9,-48.0886094221,-54.8904793085,-54.9128691987
33.95,-48.0341445661,-54.8904325982,-54.9119390995
34.0,-47.9822749658,-54.8903872345,-54.9110479249
34.05,-47.9329369063,-54.8903431681,-54.9101939841
34.1,-47.8860684214,-54.8903003513,-54.9093756605
34.15,-47.8416089871,-54.8902587386,-54.908591409
34.2,-47.7994996472,-54.8902182865,-54.9078397523
34.25,-47.7596817371,-54.8901789531,-54.907119278
34.3,-47.7220997726,-54.8901406984,-54.906428636
34.35,-47.6866993548,-54.8901034837,-54.9057665353
34.4,-47.6534275718,-54.8900672723,-54.9051317417
34.45,-47.6222327433,-54.8900320288,-54.9045230754
34.5,-47.5930646168,-54.8899977192,-54.9039394082
34.55,-47.5658734416,-54.889964311,-54.9033796614
34.6,-47.5406118448,-54.8899317729,-54.9028428038
34.65,-47.517233377,-54.889900075,-54.9023278493
34.7,-47.4956927784,-54.8898691885,-54.9018338551
34.75,-47.4759459642,-54.8898390858,-54.9013599197
34.8,-47.4579499154,-54.8898097405,-54.9009051811
34.85,-47.4416617272,-54.889781127,-54.9004688152
